quote,author,category
"Happiness is found in the simplest of things. Happiness is found in gratitude, in a kept promise, in a good conversation, in love, in friendship, in an achieved goal, in a fond memory; in all the simple magnificence of life.","Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience","happiness, happy, life"
"Finally, Beth said, ""I thought you already were a couple.""""No. We were having sex.","Terri Osburn, Home to Stay","couple, sex"
Some people don't care if they live or they die.Some people want to know what it feels like to fly.They gather their courage and they give it a tryAnd fall under the wheels of time going by.,Patty Griffin,heartbreak
"If you push your luck too hard, fortune's muscles might tear.",Matshona Dhliwayo,"ambition-quotes, avarice, fortune-quotes, greed-quotes, life-lesson-quotes, life-lessons-quotes, life-quotations, life-quotes, life-quotes-and-sayings, luck-quotes, overambition, wisdom-quotations, wisdom-quotes, wise-quotations, wise-quotes, wise-sayings-quotes, wise-words-quotes"
We claim to have the light in the Church yet we want to lock ourselves within the four walls of that same Church.,Sunday Adelaja,"church, light, lock, walls"
"You're forgiven.""I don't deserve her.""But not forgotten,"" I whisper. She'll never forget what I did. It's not humanly possible. Sometimes I want the impossible. Her expression doesn't change. ""My head is undiscriminating with the memories it keeps, but my heart has already forgotten.","Jewel E. Ann, Scarlet Stone","forgiven, forgotten, impossible, memories"
"The essential war within, and the cause of suffering, begins with the presumption that yearning, impulse and curiosity, desire and question, exist so as to end them. To attain, to acquire, to answer.","Darrell Calkins, Re:","asian-philosophy, buddhism, cobalt-saffron-retreat, cobaltsaffron, cobaltsaffron-retreat, comparative-religion, conscience, creativity, curiosity, darrell-calkins, darrell-calkins-cobalt-saffron, darrell-calkins-cobaltsaffron, darrell-calkins-retreat, darrell-calkins-seminar, evolution, happiness, humor, inspiration, intuition, mysticism, purpose, stress-management, taoism, truth, well-being, zen"
"To Fred, those years seemed to pass like quickly skimming a book and then finding the ending wasn't what he expected. He wished he'd paid more attention to the story.",Sarah Addison Allen,"comedy, magic-realism, thriller"
Don't you just hate it when real life gets in the way of your own reality.,Menna Anwar,insanity
"God turns you from one feeling to another and teaches by means of opposites so that you will have two wings to fly, not one","Jalaluddin Rumi, The Essential Rumi","confusion, faith, inspirational, love"
"I hate telling people this. I never know exactly how my voice is going to sound saying it, and I hate the stricken looks they get on their faces when they don't know what to say back.","Kendare Blake, Anna Dressed in Blood","depressed, friend, friends, hurt, life, love, sad, truth"
"Born on straw at nightunder low stable rafters,Baby Jesus cried.",Richelle E. Goodrich,"baby-jesus, christ-child, christmas, christmas-quotes, haiku, richelle, richelle-e-goodrich, richelle-goodrich"
"Either way, change will come. It could be bloody, or it could be beautiful. It depends on us.",Arundhati Roy,change
"The technical developments of almost every form of wealth [e.g., oil, minerals] are the forebears of Big Business; and Big Business, directly or indirectly, is the immediate cause of War.","Aleister Crowley, Magick Without Tears","1945, business, corporatism, economics, war"
"Some people, no matter how easy the path they are given on the walk of life, will find a way to mess it all up. Ray Levine was one of those people.","Harlan Coben, Stay Close","life, philosophical"
"We do tend to believe things while we're hearing or reading them. Afterwards, it's another matter, when the book is closed and the voice stops speaking.","Javier Marías, Los enamoramientos",belief
"A true revolution is about making those who are comfortable with corruption, uncomfortable. It's about pointing your fingers in the right direction and with nothing but the truth, will comes power. A power not to exploit the Liberian people. But an ability to restore liberty, justice, and prosperity for all.","Henry Johnson Jr, Liberian Son","henry-johnson-jr, liberia, liberian-quotes, news, revolution"
"You should not be too proud and accept help when it is offered, Lenora. Being overconfident will lead to your defeat if not careful","James Terzian, The Lord of Shadows Rises",inspirational-attitude
"That's what I like most about her; she isn't fearless. She's scared, but she keeps fighting. She has moments of doubt, when she runs away, but she comes back. She doesn't give up. Sometimes she fails, she falls down, she makes mistakes. She's real.",Jen Wilde,"afraid, comes-back, doesn-t-give-up, doubt, fear, fearless, fighting, inspirational, mistakes, moments, real, runs-away, scared"
"You never did master a leer.""- Katharine Murray, Death on the Family Tree",Patricia Sprinkle,"flirt, leer, lust"
Pale hands I loved beside the Shalimar  Where are you now? Who lies beneath your spell? Whom do you lead on Rapture's roadway  far  Before you agonize them in farewell?,Laurence Hope,love
"Faith is the key to spiritual growth and requires a deep and personal connection with God. He wants to be the head of our hearts, king of our souls, and guide to our spirit. By allowing Him free reign in these areas we create an opportunity for lasting intimacy with the Creator. From intimacy comes confidence – in Him and in us.","Kristen Clark, Becoming a Woman of Worth: Creating a More Confident You","christian, confidence, inspirational"
"So what if you’re right? So what if you’re wrong? In the end you might be surprised to find that God doesn’t care so much about whether you were right or wrong but whether, despite it all, you were kind or cruel.","Richelle E. Goodrich, Slaying Dragons","be-kind, cruel, cruelty, kind, kindness, richelle, richelle-e-goodrich, richelle-goodrich, right, right-or-wrong, wrong"
the golden eternity is { },"Jack Kerouac, The Scripture of the Golden Eternity","buddhism, god, math"
"Akil, humans have these wonderful little things we like to cling onto, called souls. The jury’s still out as to whether demons have them, I sincerely doubt you do."" ~ Muse.","Pippa DaCosta, Drowning In The Dark","akil, demons, muse, muse-to-akil, paranormal-romance, pippa-dacosta, souls, the-veil-series, urban-fantasy, urban-fantasy-series"
